source_id,kind,market,name,url,host,tier,category,enabled,notes
yt:UCIjSUWHWp6KohfnR5OQTXnQ,youtube,US,FOX 5 New York,https://www.youtube.com/feeds/videos.xml?channel_id=UCIjSUWHWp6KohfnR5OQTXnQ,youtube.com,B,Local TV,1,
yt:UCEXGDNclvmg6RW0vipJYsTQ,youtube,US,Channels Television,https://www.youtube.com/feeds/videos.xml?channel_id=UCEXGDNclvmg6RW0vipJYsTQ,youtube.com,A,International,1,
yt:UCIALMKvObZNtJ6AmdCLP7Lg,youtube,US,Bloomberg Television,https://www.youtube.com/feeds/videos.xml?channel_id=UCIALMKvObZNtJ6AmdCLP7Lg,youtube.com,A,Business,1,
yt:UCi4fcBVyo4CAnmdgXeO-NvA,youtube,US,CBS Boston,https://www.youtube.com/feeds/videos.xml?channel_id=UCi4fcBVyo4CAnmdgXeO-NvA,youtube.com,B,Local TV,1,
yt:UCXN7rPhZK6Rp8lMhvpSri_Q,youtube,US,KOIN 6,https://www.youtube.com/feeds/videos.xml?channel_id=UCXN7rPhZK6Rp8lMhvpSri_Q,youtube.com,B,Local TV,1,
yt:UCkBS_xU1WQ7FVsDoQ_OPeDg,youtube,US,CBS Chicago,https://www.youtube.com/feeds/videos.xml?channel_id=UCkBS_xU1WQ7FVsDoQ_OPeDg,youtube.com,B,Local TV,1,
yt:UCjHWv2DU5-HLpogAAr386DQ,youtube,US,FOX 5 Atlanta,https://www.youtube.com/feeds/videos.xml?channel_id=UCjHWv2DU5-HLpogAAr386DQ,youtube.com,B,Local TV,1,
yt:UC8Ioh4atNDO5a0Vy2qFmauQ,youtube,US,NTD,https://www.youtube.com/feeds/videos.xml?channel_id=UC8Ioh4atNDO5a0Vy2qFmauQ,youtube.com,A,International,1,
yt:UC6ZFN9Tx6xh-skXCuRHCDpQ,youtube,US,PBS NewsHour,https://www.youtube.com/feeds/videos.xml?channel_id=UC6ZFN9Tx6xh-skXCuRHCDpQ,youtube.com,A,National,1,
yt:UCHfF8wFnipMeDpJf8OmMxDg,youtube,US,FOX 11 Los Angeles,https://www.youtube.com/feeds/videos.xml?channel_id=UCHfF8wFnipMeDpJf8OmMxDg,youtube.com,B,Local TV,1,
yt:UCDG0mJ_zkrODDT-4VTEV6TQ,youtube,US,WOOD TV8,https://www.youtube.com/feeds/videos.xml?channel_id=UCDG0mJ_zkrODDT-4VTEV6TQ,youtube.com,B,Local TV,1,
yt:UCPsSnSR7ymSE8on3wafNbqg,youtube,US,WSB-TV,https://www.youtube.com/feeds/videos.xml?channel_id=UCPsSnSR7ymSE8on3wafNbqg,youtube.com,B,Local TV,1,
yt:UCYxRlFDqcWM4y7FfpiAN3KQ,youtube,US,The White House,https://www.youtube.com/feeds/videos.xml?channel_id=UCYxRlFDqcWM4y7FfpiAN3KQ,youtube.com,A,National,1,
yt:UC52X5wxOL_s5yw0dQk7NtgA,youtube,US,Associated Press,https://www.youtube.com/feeds/videos.xml?channel_id=UC52X5wxOL_s5yw0dQk7NtgA,youtube.com,A,National,1,
yt:UC03RvJoIhm_fMwlUpm9ZvFw,youtube,US,Craft it Up,https://www.youtube.com/feeds/videos.xml?channel_id=UC03RvJoIhm_fMwlUpm9ZvFw,youtube.com,C,Lifestyle,1,
yt:UC_vFLohxs5PkAxlk7Y6jEtw,youtube,US,ABC 7 Chicago,https://www.youtube.com/feeds/videos.xml?channel_id=UC_vFLohxs5PkAxlk7Y6jEtw,youtube.com,B,Local TV,1,
yt:UCz8QsOYD8s3RcQ_-mAWbGBg,youtube,US,FOX 5 San Diego,https://www.youtube.com/feeds/videos.xml?channel_id=UCz8QsOYD8s3RcQ_-mAWbGBg,youtube.com,B,Local TV,1,
yt:UCF-VP3b3oH0XASqsLI5rnLw,youtube,US,Times Radio,https://www.youtube.com/feeds/videos.xml?channel_id=UCF-VP3b3oH0XASqsLI5rnLw,youtube.com,A,International,1,
yt:UCry2gCVdntv6r661sKUiKXw,youtube,US,WCCO - CBS Minnesota,https://www.youtube.com/feeds/videos.xml?channel_id=UCry2gCVdntv6r661sKUiKXw,youtube.com,B,Local TV,1,
